Submission,Solution Name/Number,Step 1,Step 2,Step 3,Step 4,Total Marks,Problem,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12
Compilation_Error,3.0,2.0,2.0,,,4/4,Anagram,,,,,,,,
Correct_1,1.0,1.0,1.0,1.0,1.0,4/4,Anagram,,,,,,,,
Correct_2,1.0,1.0,1.0,1.0,1.0,4/4,Anagram,,,,,,,,
Correct_3,1.0,1.0,1.0,1.0,1.0,4/4,Anagram,,,,,,,,
TLE,1.0,1.0,1.0,1.0,1.0,4/4,Anagram,,,,,,,,
Wrong,1.0,0.0,0.0,0.0,0.0,0/4,Anagram,,,,,,,,
Compilation_Error,1.0,1.0,1.0,1.0,1.0,6/6,Check for BST,1.0,1.0,,,,,,
Correct_1,1.0,1.0,1.0,1.0,1.0,6/6,Check for BST,1.0,1.0,,,,,,
Correct_2,2.0,1.0,1.0,1.0,1.0,6/6,Check for BST,1.0,1.0,,,,,,
Correct_3,1.0,1.0,1.0,1.0,1.0,6/6,Check for BST,1.0,1.0,,,,,,
TLE,1.0,0.0,1.0,0.0,0.0,2/6,Check for BST,0.0,1.0,,,,,,
Wrong,1.0,0.0,1.0,0.0,0.0,2/6,Check for BST,0.0,1.0,,,,,,
Compilation_Error,1.0,1.0,1.0,1.0,1.0,4/4,Circle of Strings,,,,,,,,
Correct_1,1.0,1.0,1.0,1.0,1.0,4/4,Circle of Strings,,,,,,,,
Correct_2,1.0,1.0,1.0,1.0,1.0,4/4,Circle of Strings,,,,,,,,
Correct_3,2.0,1.0,1.0,1.0,1.0,4/4,Circle of Strings,,,,,,,,
TLE,1.0,1.0,1.0,0.0,1.0,3/4,Circle of Strings,,,,,,,,
Wrong,3.0,0.0,1.0,0.0,0.0,1/4,Circle of Strings,,,,,,,,
Compilation_Error,1.0,1.0,1.0,1.0,1.0,4/4,Cycle in a Directed Graph,,,,,,,,
Correct_1,1.0,1.0,1.0,1.0,1.0,4/4,Cycle in a Directed Graph,,,,,,,,
Correct_2,1.0,1.0,1.0,1.0,1.0,4/4,Cycle in a Directed Graph,,,,,,,,
Correct_3,2.0,1.0,1.0,1.0,1.0,4/4,Cycle in a Directed Graph,,,,,,,,
TLE,1.0,0.0,1.0,1.0,0.0,2/4,Cycle in a Directed Graph,,,,,,,,
Wrong,2.0,0.0,0.0,0.0,0.0,0/4,Cycle in a Directed Graph,,,,,,,,
Compilation_Error,1.0,0.0,1.0,1.0,1.0,3/6,Find Unique Element,0.0,0.0,,,,,,
Correct_1,3.0,1.0,1.0,1.0,1.0,4/5,Find Unique Element,0.0,,,,,,,
Correct_2,3.0,1.0,1.0,1.0,1.0,5/5,Find Unique Element,1.0,,,,,,,
Correct_3,2.0,1.0,1.0,1.0,1.0,5/5,Find Unique Element,1.0,,,,,,,
TLE,3.0,0.0,0.0,0.0,0.0,0/5,Find Unique Element,0.0,,,,,,,
Wrong,3.0,0.0,0.0,0.0,1.0,2/5,Find Unique Element,1.0,,,,,,,
Compilation_Error,1.0,1.0,1.0,0.0,0.0,2/7,First 1 in a Sorted Binary Array,1.0,,,,,,,
Correct_1,2.0,2.0,2.0,1.0,,5/5,First 1 in a Sorted Binary Array,,,,,,,,
Correct_2,3.0,1.0,1.0,1.0,1.0,5/5,First 1 in a Sorted Binary Array,1.0,,,,,,,
Correct_3,2.0,2.0,2.0,1.0,,5/5,First 1 in a Sorted Binary Array,,,,,,,,
TLE,3.0,1.0,0.0,1.0,0.0,3/5,First 1 in a Sorted Binary Array,1.0,,,,,,,
Wrong,3.0,1.0,0.0,1.0,0.0,3/5,First 1 in a Sorted Binary Array,1.0,,,,,,,
Compilation_Error,1.0,0.0,1.0,0.0,0.0,1/5,First and Last Occurences,0.0,,,,,,,
Correct_1,1.0,1.0,1.0,1.0,1.0,5/5,First and Last Occurences,1.0,,,,,,,
Correct_2,1.0,1.0,1.0,1.0,1.0,5/5,First and Last Occurences,1.0,,,,,,,
Correct_3,2.0,1.0,1.0,2.0,1.0,9/9,First and Last Occurences,1.0,2.0,1.0,,,,,
TLE,2.0,1.0,1.0,2.0,1.0,9/9,First and Last Occurences,1.0,2.0,1.0,,,,,
Wrong,2.0,1.0,1.0,2.0,1.0,9/9,First and Last Occurences,1.0,2.0,1.0,,,,,
Compilation_Error,3.0,1.0,1.0,1.0,1.0,4/4,Frequencies in a Limited Array,,,,,,,,
Correct_1,3.0,1.0,1.0,1.0,1.0,4/4,Frequencies in a Limited Array,,,,,,,,
Correct_2,3.0,1.0,1.0,1.0,1.0,4/4,Frequencies in a Limited Array,,,,,,,,
Correct_3,3.0,1.0,1.0,1.0,1.0,4/4,Frequencies in a Limited Array,,,,,,,,
TLE,4.0,0.0,1.0,1.0,1.0,3/4,Frequencies in a Limited Array,,,,,,,,
Wrong,3.0,1.0,1.0,0.0,0.0,2/4,Frequencies in a Limited Array,,,,,,,,
Compilation_Error,2.0,0.0,0.0,0.0,0.0,0/5,Largest Product,0.0,,,,,,,
Correct_1,2.0,1.0,1.0,1.0,1.0,4/5,Largest Product,0.0,,,,,,,
Correct_2,1.0,0.0,1.0,1.0,1.0,6/7,Largest Product,1.0,1.0,,,,,,
Correct_3,1.0,1.0,2.0,1.0,1.0,7/7,Largest Product,1.0,1.0,,,,,,
TLE,2.0,0.0,0.0,1.0,0.0,1/5,Largest Product,0.0,,,,,,,
Wrong,2.0,0.0,0.0,0.0,0.0,0/5,Largest Product,0.0,,,,,,,
Compilation_Error,1.0,1.0,0.0,1.0,0.0,2/4,Last Index of One,,,,,,,,
Correct_1,1.0,1.0,1.0,1.0,1.0,4/4,Last Index of One,,,,,,,,
Correct_2,1.0,1.0,1.0,1.0,1.0,4/4,Last Index of One,,,,,,,,
Correct_3,1.0,1.0,1.0,1.0,1.0,4/4,Last Index of One,,,,,,,,
TLE,1.0,1.0,1.0,1.0,0.0,3/4,Last Index of One,,,,,,,,
Wrong,1.0,0.0,0.0,0.0,1.0,1/4,Last Index of One,,,,,,,,
Compilation_Error,2.0,1.0,1.0,1.0,0.0,3/4,Longest Common Substring,,,,,,,,
Correct_1,3.0,1.0,1.0,1.0,1.0,4/4,Longest Common Substring,,,,,,,,
Correct_2,2.0,1.0,1.0,1.0,1.0,4/4,Longest Common Substring,,,,,,,,
Correct_3,2.0,1.0,1.0,1.0,1.0,4/4,Longest Common Substring,,,,,,,,
TLE,4.0,1.0,0.0,1.0,1.0,3/4,Longest Common Substring,,,,,,,,
