Problem ID,Problem Name,Submission ID,Rubric ID,Sub Rubric ID (Approach),AI Total Marks,AI Max Marks,AI Normalized (Out of 10),Human Raw Score,Human Normalized (Out of 10),Total Rubric Steps
P02,Last_index_of_One,compilation_error.java,Type_1_Original,Solution 1,2,4,5.0,2/4,5.0,4
P02,Last_index_of_One,compilation_error.java,Type_2_Agnostic,Solution 1,5,10,5.0,2/4,5.0,5
P02,Last_index_of_One,compilation_error.java,Type_3_Degraded_10,Solution 1,1,3,3.33,2/4,5.0,3
P02,Last_index_of_One,compilation_error.java,Type_4_Degraded_30,Solution 1,1,2,5.0,2/4,5.0,2
P02,Last_index_of_One,compilation_error.java,Type_5_Error_10,Solution 1,2,4,5.0,2/4,5.0,4
P02,Last_index_of_One,compilation_error.java,Type_6_Error_30,Solution 1,1,4,2.5,2/4,5.0,4
P02,Last_index_of_One,compilation_error.java,Type_7_Agnostic_Simple,Simple Agnostic Evaluation Rubric,3,10,3.0,2/4,5.0,2
P02,Last_index_of_One,correct_1.java,Type_1_Original,Solution 1,4,4,10.0,4/4,10.0,4
P02,Last_index_of_One,correct_1.java,Type_2_Agnostic,Solution 1,9,10,9.0,4/4,10.0,5
P02,Last_index_of_One,correct_1.java,Type_3_Degraded_10,Solution 1,3,3,10.0,4/4,10.0,3
P02,Last_index_of_One,correct_1.java,Type_4_Degraded_30,Solution 1,2,2,10.0,4/4,10.0,2
P02,Last_index_of_One,correct_1.java,Type_5_Error_10,Solution 1,4,4,10.0,4/4,10.0,4
P02,Last_index_of_One,correct_1.java,Type_6_Error_30,Solution 1,2,4,5.0,4/4,10.0,4
P02,Last_index_of_One,correct_1.java,Type_7_Agnostic_Simple,Simple Agnostic Evaluation Rubric,10,10,10.0,4/4,10.0,2
P02,Last_index_of_One,correct_2.java,Type_1_Original,Solution 1,4,4,10.0,4/4,10.0,4
P02,Last_index_of_One,correct_2.java,Type_2_Agnostic,Solution 1,10,10,10.0,4/4,10.0,5
P02,Last_index_of_One,correct_2.java,Type_3_Degraded_10,Solution 1,3,3,10.0,4/4,10.0,3
P02,Last_index_of_One,correct_2.java,Type_4_Degraded_30,Solution 1,2,2,10.0,4/4,10.0,2
P02,Last_index_of_One,correct_2.java,Type_5_Error_10,Solution 1,4,4,10.0,4/4,10.0,4
P02,Last_index_of_One,correct_2.java,Type_6_Error_30,Solution 1,2,4,5.0,4/4,10.0,4
P02,Last_index_of_One,correct_2.java,Type_7_Agnostic_Simple,Simple Agnostic Evaluation Rubric,10,10,10.0,4/4,10.0,2
P02,Last_index_of_One,correct_3.java,Type_1_Original,Solution 1,4,4,10.0,4/4,10.0,4
P02,Last_index_of_One,correct_3.java,Type_2_Agnostic,Solution 1,9,10,9.0,4/4,10.0,5
P02,Last_index_of_One,correct_3.java,Type_3_Degraded_10,Solution 1,3,3,10.0,4/4,10.0,3
P02,Last_index_of_One,correct_3.java,Type_4_Degraded_30,Solution 1,2,2,10.0,4/4,10.0,2
P02,Last_index_of_One,correct_3.java,Type_5_Error_10,Solution 1,4,4,10.0,4/4,10.0,4
P02,Last_index_of_One,correct_3.java,Type_6_Error_30,Solution 1,2,4,5.0,4/4,10.0,4
P02,Last_index_of_One,correct_3.java,Type_7_Agnostic_Simple,Simple Agnostic Evaluation Rubric,10,10,10.0,4/4,10.0,2
P02,Last_index_of_One,TLE.java,Type_1_Original,Solution 1,1,4,2.5,3/4,7.5,4
P02,Last_index_of_One,TLE.java,Type_2_Agnostic,Solution 1,5,10,5.0,3/4,7.5,5
P02,Last_index_of_One,TLE.java,Type_3_Degraded_10,Solution 1,2,3,6.67,3/4,7.5,3
P02,Last_index_of_One,TLE.java,Type_4_Degraded_30,Solution 1,0,2,0.0,3/4,7.5,2
P02,Last_index_of_One,TLE.java,Type_5_Error_10,Solution 1,1,4,2.5,3/4,7.5,4
P02,Last_index_of_One,TLE.java,Type_6_Error_30,Solution 1,1,4,2.5,3/4,7.5,4
P02,Last_index_of_One,TLE.java,Type_7_Agnostic_Simple,Simple Agnostic Evaluation Rubric,4,10,4.0,3/4,7.5,2
P02,Last_index_of_One,wrong.java,Type_1_Original,Solution 2,1,4,2.5,1/4,2.5,4
P02,Last_index_of_One,wrong.java,Type_2_Agnostic,Solution 1,5,10,5.0,1/4,2.5,5
P02,Last_index_of_One,wrong.java,Type_3_Degraded_10,Solution 2,0,3,0.0,1/4,2.5,3
P02,Last_index_of_One,wrong.java,Type_4_Degraded_30,Solution 2,1,2,5.0,1/4,2.5,2
P02,Last_index_of_One,wrong.java,Type_5_Error_10,Solution 2,1,4,2.5,1/4,2.5,4
P02,Last_index_of_One,wrong.java,Type_6_Error_30,Solution 1,2,4,5.0,1/4,2.5,4
P02,Last_index_of_One,wrong.java,Type_7_Agnostic_Simple,Simple Agnostic Evaluation Rubric,5,10,5.0,1/4,2.5,2
P03,Maximum_Subarray_Sum,compilation_error.java,Type_1_Original,Solution 3,0,0,0.0,3/4,7.5,0
P03,Maximum_Subarray_Sum,compilation_error.java,Type_2_Agnostic,Solution 1,6,10,6.0,3/4,7.5,5
P03,Maximum_Subarray_Sum,compilation_error.java,Type_3_Degraded_10,Solution 3,2,0,0.0,3/4,7.5,0
P03,Maximum_Subarray_Sum,compilation_error.java,Type_4_Degraded_30,Solution 3,0,0,0.0,3/4,7.5,0
